四季,#genre#
History 历史频道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214
爱尔达生活旅游台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=1&ch=175
TV5MONDE STYLE HD 生活时尚,https://www.4gtv.tv/channel/4gtv-live122?set=1&ch=178
公视戏剧,https://www.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
民视影剧台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24
龙华戏剧台,https://www.4gtv.tv/channel/litv-longturn18?set=1&ch=23
HITS频道,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=186
龙华日韩台,https://www.4gtv.tv/channel/litv-longturn11?set=1&ch=28
八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
靖天戏剧台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
靖洋戏剧台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
CI 罪案侦查频道,https://www.4gtv.tv/channel/4gtv-live027?set=1&ch=215
视纳华仁纪实频道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
影迷数位纪实台,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=212
金光布袋戏,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=236
ROCK Action,https://www.4gtv.tv/channel/4gtv-live138?set=1&ch=180
采昌影剧台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
靖天映画,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
靖天电影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
龙华电影台,https://www.4gtv.tv/channel/litv-longturn03?set=1&ch=121
影迷数位电影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
amc最爱电影,https://www.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39
CinemaWorld,https://www.4gtv.tv/channel/4gtv-live069?set=1&ch=225
我的欧洲电影,https://www.4gtv.tv/channel/4gtv-live157?set=1&ch=176
好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=1&ch=8
